player_id,player_slug,full_name,year,surface,Aces,DoubleFaults,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsFaced,BreakPointsSavedPercentage,ServiceGamesPlayed,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsOpportunities,BreakPointsConvertedPercentage,ReturnGamesPlayed,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
s0s1,ben-shelton,Ben Shelton,2025,Hard,396,112,65,76,55,198,70,529,89,69,26,47,223,40,524,17,34,51
s0s1,ben-shelton,Ben Shelton,2025,Clay,78,44,62,71,54,85,56,163,77,64,30,44,59,49,164,18,35,49
s0s1,ben-shelton,Ben Shelton,2025,Grass,133,42,63,78,55,43,79,140,94,70,23,46,49,39,139,14,31,51
s0s1,ben-shelton,Ben Shelton,2025,Carpet,,,,,,,,,,,,,,,,,,
s0s1,ben-shelton,Ben Shelton,2024,all,619,218,69,76,54,360,73,905,89,69,25,45,387,35,896,15,33,51
s0s1,ben-shelton,Ben Shelton,2024,Hard,434,127,69,76,55,232,73,603,90,70,24,45,248,37,598,15,32,51
s0s1,ben-shelton,Ben Shelton,2024,Clay,74,53,65,75,53,67,66,163,86,67,29,45,84,32,159,17,35,51
s0s1,ben-shelton,Ben Shelton,2024,Grass,111,38,70,76,51,61,79,139,91,68,23,47,55,33,139,13,32,50
s0s1,ben-shelton,Ben Shelton,2024,Carpet,,,,,,,,,,,,,,,,,,
s0s1,ben-shelton,Ben Shelton,2023,all,505,209,64,76,52,298,66,674,85,67,26,44,256,41,675,16,32,50
s0s1,ben-shelton,Ben Shelton,2023,Hard,359,135,65,77,54,177,66,471,87,69,26,43,182,42,473,16,32,51
s0s1,ben-shelton,Ben Shelton,2023,Clay,71,47,60,71,43,80,61,116,73,60,25,47,41,54,115,19,32,47
s0s1,ben-shelton,Ben Shelton,2023,Grass,75,27,65,78,52,41,76,87,89,69,25,47,33,24,87,9,33,50
s0s1,ben-shelton,Ben Shelton,2023,Carpet,,,,,,,,,,,,,,,,,,
fb98,taylor-fritz,Taylor Fritz,all,all,5604,1270,61,77,52,3044,64,7261,85,67,27,50,3743,38,7145,20,36,51
fb98,taylor-fritz,Taylor Fritz,all,Hard,4029,938,61,77,52,2090,65,5049,86,67,27,51,2626,37,4979,20,36,51
fb98,taylor-fritz,Taylor Fritz,all,Clay,679,163,59,74,51,589,58,1170,79,64,30,50,712,37,1142,23,38,51
fb98,taylor-fritz,Taylor Fritz,all,Grass,896,169,62,79,55,365,66,1042,88,70,25,49,405,41,1024,16,33,52
fb98,taylor-fritz,Taylor Fritz,all,Carpet,,,,,,,,,,,,,,,,,,
fb98,taylor-fritz,Taylor Fritz,2026,all,316,31,69,80,51,100,68,284,89,71,25,48,128,26,277,12,33,51
fb98,taylor-fritz,Taylor Fritz,2026,Hard,316,31,69,80,51,100,68,284,89,71,25,48,128,26,277,12,33,51
fb98,taylor-fritz,Taylor Fritz,2026,Clay,,,,,,,,,,,,,,,,,,
fb98,taylor-fritz,Taylor Fritz,2026,Grass,,,,,,,,,,,,,,,,,,
fb98,taylor-fritz,Taylor Fritz,2026,Carpet,,,,,,,,,,,,,,,,,,
fb98,taylor-fritz,Taylor Fritz,2025,all,867,146,64,79,54,316,66,989,89,70,26,51,453,40,969,19,35,53
fb98,taylor-fritz,Taylor Fritz,2025,Hard,585,112,64,79,53,235,69,671,89,70,27,52,329,39,658,19,36,53
fb98,taylor-fritz,Taylor Fritz,2025,Clay,53,6,61,78,47,32,53,83,82,66,22,48,40,30,82,15,33,49
fb98,taylor-fritz,Taylor Fritz,2025,Grass,229,28,65,81,60,49,63,235,92,74,25,51,84,48,229,17,34,54
fb98,taylor-fritz,Taylor Fritz,2025,Carpet,,,,,,,,,,,,,,,,,,
fb98,taylor-fritz,Taylor Fritz,2024,all,725,120,62,78,55,348,69,925,88,70,27,50,468,38,900,20,36,53
fb98,taylor-fritz,Taylor Fritz,2024,Hard,382,78,61,77,55,201,70,503,88,68,27,51,267,39,497,21,36,52
fb98,taylor-fritz,Taylor Fritz,2024,Clay,175,28,62,78,51,107,66,248,85,68,31,48,131,41,236,23,37,53
fb98,taylor-fritz,Taylor Fritz,2024,Grass,168,14,66,84,62,40,73,174,94,77,25,49,70,33,167,14,33,54
fb98,taylor-fritz,Taylor Fritz,2024,Carpet,,,,,,,,,,,,,,,,,,
fb98,taylor-fritz,Taylor Fritz,2023,all,692,165,59,79,55,352,66,935,87,69,28,53,490,42,909,23,38,53
fb98,taylor-fritz,Taylor Fritz,2023,Hard,502,113,60,79,55,211,68,626,89,70,27,54,313,44,611,22,38,53
fb98,taylor-fritz,Taylor Fritz,2023,Clay,126,35,56,77,57,104,62,218,82,68,32,53,149,40,209,28,40,54
fb98,taylor-fritz,Taylor Fritz,2023,Grass,64,17,62,76,56,37,65,91,86,68,26,47,28,43,89,13,33,51
fb98,taylor-fritz,Taylor Fritz,2023,Carpet,,,,,,,,,,,,,,,,,,
dh58,alex-de-minaur,Alex De Minaur,all,all,1850,1211,58,71,54,2947,61,5799,80,64,32,53,3690,43,5840,27,40,52
dh58,alex-de-minaur,Alex De Minaur,all,Hard,1432,848,59,72,54,2011,62,4135,82,65,31,53,2529,44,4159,26,40,52
dh58,alex-de-minaur,Alex De Minaur,all,Clay,175,193,56,67,52,602,59,914,73,60,34,53,660,43,926,31,41,51
dh58,alex-de-minaur,Alex De Minaur,all,Grass,243,170,58,73,56,334,63,750,83,66,31,52,501,37,755,25,39,52
dh58,alex-de-minaur,Alex De Minaur,all,Carpet,,,,,,,,,,,,,,,,,,
