match_id,event_year,tournament,p1_id,p2_id,p1_prob,outcome,brier,bucket
246,2023,Open Sud de France – Montpellier,dh50,hh26,0.5522,1,0.20052483999999998,"(0.5, 0.6]"
247,2023,Cordoba Open,t0a1,cc66,1.0,1,0.0,"(0.9, 1.0]"
248,2023,Open Sud de France – Montpellier,su87,bm95,0.5508,1,0.20178064000000004,"(0.5, 0.6]"
249,2023,Open Sud de France – Montpellier,hb64,c0bh,0.346,1,0.42771600000000004,"(0.3, 0.4]"
250,2023,Open Sud de France – Montpellier,f724,bu54,0.7116,1,0.08317456,"(0.7, 0.8]"
251,2023,Open Sud de France – Montpellier,bu54,c0h0,0.5358,1,0.21548163999999995,"(0.5, 0.6]"
252,2023,Open Sud de France – Montpellier,f0f1,hb64,0.4922,1,0.25786084000000004,"(0.4, 0.5]"
253,2023,Open Sud de France – Montpellier,c0bh,ta29,0.866,1,0.017956000000000003,"(0.8, 0.9]"
254,2023,Open Sud de France – Montpellier,ta29,z371,0.285,1,0.5112250000000002,"(0.2, 0.3]"
255,2023,Open Sud de France – Montpellier,f0f1,bd06,0.4868,1,0.26337424,"(0.4, 0.5]"
256,2023,Open Sud de France – Montpellier,c0h0,n0am,0.4172,1,0.33965584,"(0.4, 0.5]"
257,2023,Open Sud de France – Montpellier,c0bh,mp20,0.7326,1,0.07150275999999998,"(0.7, 0.8]"
258,2023,ABN AMRO Open,mm58,d875,0.5954,1,0.16370115999999996,"(0.5, 0.6]"
259,2023,ABN AMRO Open,mm58,ag37,0.7148,1,0.08133904,"(0.7, 0.8]"
260,2023,ABN AMRO Open,s0ag,gj37,0.675,1,0.10562499999999997,"(0.6, 0.7]"
261,2023,ABN AMRO Open,s0ag,te51,0.5902,1,0.16793604000000004,"(0.5, 0.6]"
262,2023,Open Sud de France – Montpellier,hh06,v0dz,0.5376,1,0.21381376000000002,"(0.5, 0.6]"
263,2023,ABN AMRO Open,gj37,z355,0.4026,1,0.3568867599999999,"(0.4, 0.5]"
264,2023,Open Sud de France – Montpellier,rc91,n0bg,0.6652,1,0.11209103999999999,"(0.6, 0.7]"
265,2023,ABN AMRO Open,hb71,bd06,0.575,1,0.18062500000000004,"(0.5, 0.6]"
266,2023,ABN AMRO Open,mm58,dh50,0.643,1,0.12744899999999998,"(0.6, 0.7]"
267,2023,ABN AMRO Open,mm58,s0ag,0.4902,1,0.25989604000000005,"(0.4, 0.5]"
268,2023,ABN AMRO Open,s0ag,bm95,0.7318,1,0.07193124,"(0.7, 0.8]"
269,2023,ABN AMRO Open,d875,dh58,0.516,1,0.234256,"(0.5, 0.6]"
270,2023,ABN AMRO Open,s0ag,w367,0.7024,1,0.08856575999999998,"(0.7, 0.8]"
271,2023,ABN AMRO Open,w367,bk92,0.5178,1,0.23251683999999997,"(0.5, 0.6]"
272,2023,ABN AMRO Open,ag37,su87,0.4594,1,0.29224836,"(0.4, 0.5]"
273,2023,ABN AMRO Open,d875,hb71,0.5274,1,0.22335076,"(0.5, 0.6]"
274,2023,ABN AMRO Open,mm58,v812,0.721,1,0.07784100000000002,"(0.7, 0.8]"
275,2023,ABN AMRO Open,dh58,re44,0.4936,1,0.25644095999999994,"(0.4, 0.5]"
276,2023,ABN AMRO Open,sx50,y218,0.7036,1,0.08785296,"(0.7, 0.8]"
