match_id,file,t60_prob,outcome,mins_before,brier,is_challenger
KXATPCHALLENGERMATCH-26FEB20LAMID,KXATPCHALLENGERMATCH-26FEB20LAMID-LA_candles.csv,0.56,0,60.0,0.31360000000000005,True
KXATPCHALLENGERMATCH-26FEB20SAKNOG,KXATPCHALLENGERMATCH-26FEB20SAKNOG-NOG_candles.csv,0.51,0,60.0,0.2601,True
KXATPCHALLENGERMATCH-26FEB21ANDGAL,KXATPCHALLENGERMATCH-26FEB21ANDGAL-AND_candles.csv,0.79,0,60.0,0.6241000000000001,True
KXATPCHALLENGERMATCH-26FEB21CRASAK,KXATPCHALLENGERMATCH-26FEB21CRASAK-CRA_candles.csv,0.48,1,60.0,0.27040000000000003,True
KXATPCHALLENGERMATCH-26FEB21JUSBUE,KXATPCHALLENGERMATCH-26FEB21JUSBUE-BUE_candles.csv,0.79,0,60.0,0.6241000000000001,True
KXATPCHALLENGERMATCH-26FEB21SAKGIL,KXATPCHALLENGERMATCH-26FEB21SAKGIL-GIL_candles.csv,0.15,0,60.0,0.0225,True
KXATPCHALLENGERMATCH-26FEB22KASAGA,KXATPCHALLENGERMATCH-26FEB22KASAGA-AGA_candles.csv,0.08,0,60.0,0.0064,True
KXATPCHALLENGERMATCH-26FEB22OFNBRO,KXATPCHALLENGERMATCH-26FEB22OFNBRO-BRO_candles.csv,0.71,0,60.0,0.5041,True
KXATPCHALLENGERMATCH-26FEB22SAKCRA,KXATPCHALLENGERMATCH-26FEB22SAKCRA-CRA_candles.csv,0.4,0,60.0,0.16000000000000003,True
KXATPCHALLENGERMATCH-26FEB22TUNSIN,KXATPCHALLENGERMATCH-26FEB22TUNSIN-SIN_candles.csv,0.25,0,60.0,0.0625,True
KXATPCHALLENGERMATCH-26FEB23BERMMO,KXATPCHALLENGERMATCH-26FEB23BERMMO-BER_candles.csv,0.25,0,60.0,0.0625,True
KXATPCHALLENGERMATCH-26FEB23DEVKUM,KXATPCHALLENGERMATCH-26FEB23DEVKUM-KUM_candles.csv,0.78,1,60.0,0.04839999999999999,True
KXATPCHALLENGERMATCH-26FEB23GEEGIL,KXATPCHALLENGERMATCH-26FEB23GEEGIL-GEE_candles.csv,0.6,0,60.0,0.36,True
KXATPCHALLENGERMATCH-26FEB23GRAMIC,KXATPCHALLENGERMATCH-26FEB23GRAMIC-GRA_candles.csv,0.53,1,60.0,0.22089999999999999,True
KXATPCHALLENGERMATCH-26FEB23JANGAD,KXATPCHALLENGERMATCH-26FEB23JANGAD-GAD_candles.csv,0.58,1,60.0,0.17640000000000003,True
KXATPCHALLENGERMATCH-26FEB23JORIMA,KXATPCHALLENGERMATCH-26FEB23JORIMA-IMA_candles.csv,0.56,1,60.0,0.19359999999999997,True
KXATPCHALLENGERMATCH-26FEB23LEOHUA,KXATPCHALLENGERMATCH-26FEB23LEOHUA-HUA_candles.csv,0.43,0,60.0,0.18489999999999998,True
